"cartodb_id","the_geom","the_geom_webmercator","uid","date","value","value_type"
1,,,"annual_mean_1880-01-01","1880-01-01T00:00:00Z",-0.2,"annual_mean"
2,,,"five_year_mean_1880-01-01","1880-01-01T00:00:00Z",-0.13,"five_year_mean"
3,,,"annual_mean_1881-01-01","1881-01-01T00:00:00Z",-0.12,"annual_mean"
4,,,"five_year_mean_1881-01-01","1881-01-01T00:00:00Z",-0.16,"five_year_mean"
5,,,"annual_mean_1882-01-01","1882-01-01T00:00:00Z",-0.1,"annual_mean"
6,,,"five_year_mean_1882-01-01","1882-01-01T00:00:00Z",-0.19,"five_year_mean"
7,,,"annual_mean_1883-01-01","1883-01-01T00:00:00Z",-0.21,"annual_mean"
8,,,"five_year_mean_1883-01-01","1883-01-01T00:00:00Z",-0.21,"five_year_mean"
9,,,"annual_mean_1884-01-01","1884-01-01T00:00:00Z",-0.28,"annual_mean"
10,,,"five_year_mean_1884-01-01","1884-01-01T00:00:00Z",-0.24,"five_year_mean"
11,,,"annual_mean_1885-01-01","1885-01-01T00:00:00Z",-0.32,"annual_mean"
12,,,"five_year_mean_1885-01-01","1885-01-01T00:00:00Z",-0.26,"five_year_mean"
13,,,"annual_mean_1886-01-01","1886-01-01T00:00:00Z",-0.31,"annual_mean"
14,,,"five_year_mean_1886-01-01","1886-01-01T00:00:00Z",-0.27,"five_year_mean"
15,,,"annual_mean_1887-01-01","1887-01-01T00:00:00Z",-0.33,"annual_mean"
16,,,"five_year_mean_1887-01-01","1887-01-01T00:00:00Z",-0.27,"five_year_mean"
17,,,"annual_mean_1888-01-01","1888-01-01T00:00:00Z",-0.2,"annual_mean"
18,,,"five_year_mean_1888-01-01","1888-01-01T00:00:00Z",-0.27,"five_year_mean"
19,,,"annual_mean_1889-01-01","1889-01-01T00:00:00Z",-0.12,"annual_mean"
20,,,"five_year_mean_1889-01-01","1889-01-01T00:00:00Z",-0.26,"five_year_mean"
21,,,"annual_mean_1890-01-01","1890-01-01T00:00:00Z",-0.37,"annual_mean"
22,,,"five_year_mean_1890-01-01","1890-01-01T00:00:00Z",-0.26,"five_year_mean"
23,,,"annual_mean_1891-01-01","1891-01-01T00:00:00Z",-0.24,"annual_mean"
24,,,"five_year_mean_1891-01-01","1891-01-01T00:00:00Z",-0.26,"five_year_mean"
25,,,"annual_mean_1892-01-01","1892-01-01T00:00:00Z",-0.27,"annual_mean"
26,,,"five_year_mean_1892-01-01","1892-01-01T00:00:00Z",-0.27,"five_year_mean"
27,,,"annual_mean_1893-01-01","1893-01-01T00:00:00Z",-0.3,"annual_mean"
28,,,"five_year_mean_1893-01-01","1893-01-01T00:00:00Z",-0.26,"five_year_mean"
29,,,"annual_mean_1894-01-01","1894-01-01T00:00:00Z",-0.31,"annual_mean"
30,,,"five_year_mean_1894-01-01","1894-01-01T00:00:00Z",-0.24,"five_year_mean"
31,,,"annual_mean_1895-01-01","1895-01-01T00:00:00Z",-0.21,"annual_mean"
32,,,"five_year_mean_1895-01-01","1895-01-01T00:00:00Z",-0.22,"five_year_mean"
33,,,"annual_mean_1896-01-01","1896-01-01T00:00:00Z",-0.15,"annual_mean"
34,,,"five_year_mean_1896-01-01","1896-01-01T00:00:00Z",-0.21,"five_year_mean"
35,,,"annual_mean_1897-01-01","1897-01-01T00:00:00Z",-0.11,"annual_mean"
36,,,"five_year_mean_1897-01-01","1897-01-01T00:00:00Z",-0.18,"five_year_mean"
37,,,"annual_mean_1898-01-01","1898-01-01T00:00:00Z",-0.28,"annual_mean"
38,,,"five_year_mean_1898-01-01","1898-01-01T00:00:00Z",-0.17,"five_year_mean"
39,,,"annual_mean_1899-01-01","1899-01-01T00:00:00Z",-0.16,"annual_mean"
40,,,"five_year_mean_1899-01-01","1899-01-01T00:00:00Z",-0.17,"five_year_mean"
41,,,"annual_mean_1900-01-01","1900-01-01T00:00:00Z",-0.09,"annual_mean"
42,,,"five_year_mean_1900-01-01","1900-01-01T00:00:00Z",-0.2,"five_year_mean"
43,,,"annual_mean_1901-01-01","1901-01-01T00:00:00Z",-0.15,"annual_mean"
44,,,"five_year_mean_1901-01-01","1901-01-01T00:00:00Z",-0.23,"five_year_mean"
45,,,"annual_mean_1902-01-01","1902-01-01T00:00:00Z",-0.27,"annual_mean"
46,,,"five_year_mean_1902-01-01","1902-01-01T00:00:00Z",-0.25,"five_year_mean"
47,,,"annual_mean_1903-01-01","1903-01-01T00:00:00Z",-0.35,"annual_mean"
48,,,"five_year_mean_1903-01-01","1903-01-01T00:00:00Z",-0.28,"five_year_mean"
49,,,"annual_mean_1904-01-01","1904-01-01T00:00:00Z",-0.44,"annual_mean"
50,,,"five_year_mean_1904-01-01","1904-01-01T00:00:00Z",-0.31,"five_year_mean"
51,,,"annual_mean_1905-01-01","1905-01-01T00:00:00Z",-0.28,"annual_mean"
52,,,"five_year_mean_1905-01-01","1905-01-01T00:00:00Z",-0.34,"five_year_mean"
53,,,"annual_mean_1906-01-01","1906-01-01T00:00:00Z",-0.23,"annual_mean"
54,,,"five_year_mean_1906-01-01","1906-01-01T00:00:00Z",-0.36,"five_year_mean"
55,,,"annual_mean_1907-01-01","1907-01-01T00:00:00Z",-0.4,"annual_mean"
56,,,"five_year_mean_1907-01-01","1907-01-01T00:00:00Z",-0.38,"five_year_mean"
57,,,"annual_mean_1908-01-01","1908-01-01T00:00:00Z",-0.43,"annual_mean"
58,,,"five_year_mean_1908-01-01","1908-01-01T00:00:00Z",-0.39,"five_year_mean"
59,,,"annual_mean_1909-01-01","1909-01-01T00:00:00Z",-0.47,"annual_mean"
60,,,"five_year_mean_1909-01-01","1909-01-01T00:00:00Z",-0.41,"five_year_mean"
61,,,"annual_mean_1910-01-01","1910-01-01T00:00:00Z",-0.42,"annual_mean"
62,,,"five_year_mean_1910-01-01","1910-01-01T00:00:00Z",-0.41,"five_year_mean"
63,,,"annual_mean_1911-01-01","1911-01-01T00:00:00Z",-0.44,"annual_mean"
64,,,"five_year_mean_1911-01-01","1911-01-01T00:00:00Z",-0.38,"five_year_mean"
65,,,"annual_mean_1912-01-01","1912-01-01T00:00:00Z",-0.35,"annual_mean"
66,,,"five_year_mean_1912-01-01","1912-01-01T00:00:00Z",-0.34,"five_year_mean"
67,,,"annual_mean_1913-01-01","1913-01-01T00:00:00Z",-0.34,"annual_mean"
68,,,"five_year_mean_1913-01-01","1913-01-01T00:00:00Z",-0.32,"five_year_mean"
69,,,"annual_mean_1914-01-01","1914-01-01T00:00:00Z",-0.16,"annual_mean"
70,,,"five_year_mean_1914-01-01","1914-01-01T00:00:00Z",-0.3,"five_year_mean"
71,,,"annual_mean_1915-01-01","1915-01-01T00:00:00Z",-0.11,"annual_mean"
72,,,"five_year_mean_1915-01-01","1915-01-01T00:00:00Z",-0.29,"five_year_mean"
73,,,"annual_mean_1916-01-01","1916-01-01T00:00:00Z",-0.34,"annual_mean"
74,,,"five_year_mean_1916-01-01","1916-01-01T00:00:00Z",-0.27,"five_year_mean"
75,,,"annual_mean_1917-01-01","1917-01-01T00:00:00Z",-0.4,"annual_mean"
76,,,"five_year_mean_1917-01-01","1917-01-01T00:00:00Z",-0.27,"five_year_mean"
77,,,"annual_mean_1918-01-01","1918-01-01T00:00:00Z",-0.26,"annual_mean"
78,,,"five_year_mean_1918-01-01","1918-01-01T00:00:00Z",-0.27,"five_year_mean"
79,,,"annual_mean_1919-01-01","1919-01-01T00:00:00Z",-0.22,"annual_mean"
80,,,"five_year_mean_1919-01-01","1919-01-01T00:00:00Z",-0.27,"five_year_mean"
81,,,"annual_mean_1920-01-01","1920-01-01T00:00:00Z",-0.27,"annual_mean"
82,,,"five_year_mean_1920-01-01","1920-01-01T00:00:00Z",-0.26,"five_year_mean"
83,,,"annual_mean_1921-01-01","1921-01-01T00:00:00Z",-0.21,"annual_mean"
84,,,"five_year_mean_1921-01-01","1921-01-01T00:00:00Z",-0.25,"five_year_mean"
85,,,"annual_mean_1922-01-01","1922-01-01T00:00:00Z",-0.28,"annual_mean"
86,,,"five_year_mean_1922-01-01","1922-01-01T00:00:00Z",-0.25,"five_year_mean"
87,,,"annual_mean_1923-01-01","1923-01-01T00:00:00Z",-0.24,"annual_mean"
88,,,"five_year_mean_1923-01-01","1923-01-01T00:00:00Z",-0.24,"five_year_mean"
89,,,"annual_mean_1924-01-01","1924-01-01T00:00:00Z",-0.28,"annual_mean"
90,,,"five_year_mean_1924-01-01","1924-01-01T00:00:00Z",-0.23,"five_year_mean"
91,,,"annual_mean_1925-01-01","1925-01-01T00:00:00Z",-0.21,"annual_mean"
92,,,"five_year_mean_1925-01-01","1925-01-01T00:00:00Z",-0.22,"five_year_mean"
93,,,"annual_mean_1926-01-01","1926-01-01T00:00:00Z",-0.1,"annual_mean"
94,,,"five_year_mean_1926-01-01","1926-01-01T00:00:00Z",-0.21,"five_year_mean"
95,,,"annual_mean_1927-01-01","1927-01-01T00:00:00Z",-0.21,"annual_mean"
96,,,"five_year_mean_1927-01-01","1927-01-01T00:00:00Z",-0.21,"five_year_mean"
97,,,"annual_mean_1928-01-01","1928-01-01T00:00:00Z",-0.21,"annual_mean"
98,,,"five_year_mean_1928-01-01","1928-01-01T00:00:00Z",-0.19,"five_year_mean"
99,,,"annual_mean_1929-01-01","1929-01-01T00:00:00Z",-0.36,"annual_mean"
100,,,"five_year_mean_1929-01-01","1929-01-01T00:00:00Z",-0.19,"five_year_mean"
101,,,"annual_mean_1930-01-01","1930-01-01T00:00:00Z",-0.15,"annual_mean"
102,,,"five_year_mean_1930-01-01","1930-01-01T00:00:00Z",-0.19,"five_year_mean"
103,,,"annual_mean_1931-01-01","1931-01-01T00:00:00Z",-0.09,"annual_mean"
104,,,"five_year_mean_1931-01-01","1931-01-01T00:00:00Z",-0.19,"five_year_mean"
105,,,"annual_mean_1932-01-01","1932-01-01T00:00:00Z",-0.17,"annual_mean"
106,,,"five_year_mean_1932-01-01","1932-01-01T00:00:00Z",-0.18,"five_year_mean"
107,,,"annual_mean_1933-01-01","1933-01-01T00:00:00Z",-0.28,"annual_mean"
108,,,"five_year_mean_1933-01-01","1933-01-01T00:00:00Z",-0.17,"five_year_mean"
109,,,"annual_mean_1934-01-01","1934-01-01T00:00:00Z",-0.14,"annual_mean"
110,,,"five_year_mean_1934-01-01","1934-01-01T00:00:00Z",-0.16,"five_year_mean"
111,,,"annual_mean_1935-01-01","1935-01-01T00:00:00Z",-0.2,"annual_mean"
112,,,"five_year_mean_1935-01-01","1935-01-01T00:00:00Z",-0.14,"five_year_mean"
113,,,"annual_mean_1936-01-01","1936-01-01T00:00:00Z",-0.15,"annual_mean"
114,,,"five_year_mean_1936-01-01","1936-01-01T00:00:00Z",-0.12,"five_year_mean"
115,,,"annual_mean_1937-01-01","1937-01-01T00:00:00Z",-0.03,"annual_mean"
116,,,"five_year_mean_1937-01-01","1937-01-01T00:00:00Z",-0.08,"five_year_mean"
117,,,"annual_mean_1938-01-01","1938-01-01T00:00:00Z",-0.03,"annual_mean"
118,,,"five_year_mean_1938-01-01","1938-01-01T00:00:00Z",-0.03,"five_year_mean"
119,,,"annual_mean_1939-01-01","1939-01-01T00:00:00Z",-0.03,"annual_mean"
120,,,"five_year_mean_1939-01-01","1939-01-01T00:00:00Z",0.01,"five_year_mean"
121,,,"annual_mean_1940-01-01","1940-01-01T00:00:00Z",0.08,"annual_mean"
122,,,"five_year_mean_1940-01-01","1940-01-01T00:00:00Z",0.05,"five_year_mean"
123,,,"annual_mean_1941-01-01","1941-01-01T00:00:00Z",0.12,"annual_mean"
124,,,"five_year_mean_1941-01-01","1941-01-01T00:00:00Z",0.08,"five_year_mean"
125,,,"annual_mean_1942-01-01","1942-01-01T00:00:00Z",0.09,"annual_mean"
126,,,"five_year_mean_1942-01-01","1942-01-01T00:00:00Z",0.11,"five_year_mean"
127,,,"annual_mean_1943-01-01","1943-01-01T00:00:00Z",0.13,"annual_mean"
128,,,"five_year_mean_1943-01-01","1943-01-01T00:00:00Z",0.11,"five_year_mean"
129,,,"annual_mean_1944-01-01","1944-01-01T00:00:00Z",0.25,"annual_mean"
130,,,"five_year_mean_1944-01-01","1944-01-01T00:00:00Z",0.09,"five_year_mean"
131,,,"annual_mean_1945-01-01","1945-01-01T00:00:00Z",0.12,"annual_mean"
132,,,"five_year_mean_1945-01-01","1945-01-01T00:00:00Z",0.06,"five_year_mean"
133,,,"annual_mean_1946-01-01","1946-01-01T00:00:00Z",-0.04,"annual_mean"
134,,,"five_year_mean_1946-01-01","1946-01-01T00:00:00Z",0.02,"five_year_mean"
135,,,"annual_mean_1947-01-01","1947-01-01T00:00:00Z",-0.05,"annual_mean"
136,,,"five_year_mean_1947-01-01","1947-01-01T00:00:00Z",-0.02,"five_year_mean"
137,,,"annual_mean_1948-01-01","1948-01-01T00:00:00Z",-0.09,"annual_mean"
138,,,"five_year_mean_1948-01-01","1948-01-01T00:00:00Z",-0.06,"five_year_mean"
139,,,"annual_mean_1949-01-01","1949-01-01T00:00:00Z",-0.09,"annual_mean"
140,,,"five_year_mean_1949-01-01","1949-01-01T00:00:00Z",-0.08,"five_year_mean"
141,,,"annual_mean_1950-01-01","1950-01-01T00:00:00Z",-0.18,"annual_mean"
142,,,"five_year_mean_1950-01-01","1950-01-01T00:00:00Z",-0.07,"five_year_mean"
143,,,"annual_mean_1951-01-01","1951-01-01T00:00:00Z",-0.07,"annual_mean"
144,,,"five_year_mean_1951-01-01","1951-01-01T00:00:00Z",-0.07,"five_year_mean"
145,,,"annual_mean_1952-01-01","1952-01-01T00:00:00Z",0.01,"annual_mean"
146,,,"five_year_mean_1952-01-01","1952-01-01T00:00:00Z",-0.07,"five_year_mean"
147,,,"annual_mean_1953-01-01","1953-01-01T00:00:00Z",0.08,"annual_mean"
148,,,"five_year_mean_1953-01-01","1953-01-01T00:00:00Z",-0.08,"five_year_mean"
149,,,"annual_mean_1954-01-01","1954-01-01T00:00:00Z",-0.13,"annual_mean"
150,,,"five_year_mean_1954-01-01","1954-01-01T00:00:00Z",-0.07,"five_year_mean"
151,,,"annual_mean_1955-01-01","1955-01-01T00:00:00Z",-0.15,"annual_mean"
152,,,"five_year_mean_1955-01-01","1955-01-01T00:00:00Z",-0.06,"five_year_mean"
153,,,"annual_mean_1956-01-01","1956-01-01T00:00:00Z",-0.2,"annual_mean"
154,,,"five_year_mean_1956-01-01","1956-01-01T00:00:00Z",-0.05,"five_year_mean"
155,,,"annual_mean_1957-01-01","1957-01-01T00:00:00Z",0.04,"annual_mean"
156,,,"five_year_mean_1957-01-01","1957-01-01T00:00:00Z",-0.04,"five_year_mean"
157,,,"annual_mean_1958-01-01","1958-01-01T00:00:00Z",0.07,"annual_mean"
158,,,"five_year_mean_1958-01-01","1958-01-01T00:00:00Z",-0.01,"five_year_mean"
159,,,"annual_mean_1959-01-01","1959-01-01T00:00:00Z",0.03,"annual_mean"
160,,,"five_year_mean_1959-01-01","1959-01-01T00:00:00Z",0.01,"five_year_mean"
161,,,"annual_mean_1960-01-01","1960-01-01T00:00:00Z",-0.02,"annual_mean"
162,,,"five_year_mean_1960-01-01","1960-01-01T00:00:00Z",0.03,"five_year_mean"
163,,,"annual_mean_1961-01-01","1961-01-01T00:00:00Z",0.05,"annual_mean"
164,,,"five_year_mean_1961-01-01","1961-01-01T00:00:00Z",0.02,"five_year_mean"
165,,,"annual_mean_1962-01-01","1962-01-01T00:00:00Z",0.03,"annual_mean"
166,,,"five_year_mean_1962-01-01","1962-01-01T00:00:00Z",-0.01,"five_year_mean"
167,,,"annual_mean_1963-01-01","1963-01-01T00:00:00Z",0.06,"annual_mean"
168,,,"five_year_mean_1963-01-01","1963-01-01T00:00:00Z",-0.02,"five_year_mean"
169,,,"annual_mean_1964-01-01","1964-01-01T00:00:00Z",-0.2,"annual_mean"
170,,,"five_year_mean_1964-01-01","1964-01-01T00:00:00Z",-0.03,"five_year_mean"
171,,,"annual_mean_1965-01-01","1965-01-01T00:00:00Z",-0.1,"annual_mean"
172,,,"five_year_mean_1965-01-01","1965-01-01T00:00:00Z",-0.04,"five_year_mean"
173,,,"annual_mean_1966-01-01","1966-01-01T00:00:00Z",-0.05,"annual_mean"
174,,,"five_year_mean_1966-01-01","1966-01-01T00:00:00Z",-0.05,"five_year_mean"
175,,,"annual_mean_1967-01-01","1967-01-01T00:00:00Z",-0.02,"annual_mean"
176,,,"five_year_mean_1967-01-01","1967-01-01T00:00:00Z",-0.04,"five_year_mean"
177,,,"annual_mean_1968-01-01","1968-01-01T00:00:00Z",-0.07,"annual_mean"
178,,,"five_year_mean_1968-01-01","1968-01-01T00:00:00Z",-0.03,"five_year_mean"
179,,,"annual_mean_1969-01-01","1969-01-01T00:00:00Z",0.07,"annual_mean"
180,,,"five_year_mean_1969-01-01","1969-01-01T00:00:00Z",-0.01,"five_year_mean"
181,,,"annual_mean_1970-01-01","1970-01-01T00:00:00Z",0.02,"annual_mean"
182,,,"five_year_mean_1970-01-01","1970-01-01T00:00:00Z",0,"five_year_mean"
183,,,"annual_mean_1971-01-01","1971-01-01T00:00:00Z",-0.09,"annual_mean"
184,,,"five_year_mean_1971-01-01","1971-01-01T00:00:00Z",0,"five_year_mean"
185,,,"annual_mean_1972-01-01","1972-01-01T00:00:00Z",0.01,"annual_mean"
186,,,"five_year_mean_1972-01-01","1972-01-01T00:00:00Z",0,"five_year_mean"
187,,,"annual_mean_1973-01-01","1973-01-01T00:00:00Z",0.15,"annual_mean"
188,,,"five_year_mean_1973-01-01","1973-01-01T00:00:00Z",-0.01,"five_year_mean"
189,,,"annual_mean_1974-01-01","1974-01-01T00:00:00Z",-0.07,"annual_mean"
190,,,"five_year_mean_1974-01-01","1974-01-01T00:00:00Z",0,"five_year_mean"
191,,,"annual_mean_1975-01-01","1975-01-01T00:00:00Z",-0.02,"annual_mean"
192,,,"five_year_mean_1975-01-01","1975-01-01T00:00:00Z",0.02,"five_year_mean"
193,,,"annual_mean_1976-01-01","1976-01-01T00:00:00Z",-0.11,"annual_mean"
194,,,"five_year_mean_1976-01-01","1976-01-01T00:00:00Z",0.04,"five_year_mean"
195,,,"annual_mean_1977-01-01","1977-01-01T00:00:00Z",0.18,"annual_mean"
196,,,"five_year_mean_1977-01-01","1977-01-01T00:00:00Z",0.07,"five_year_mean"
197,,,"annual_mean_1978-01-01","1978-01-01T00:00:00Z",0.07,"annual_mean"
198,,,"five_year_mean_1978-01-01","1978-01-01T00:00:00Z",0.12,"five_year_mean"
199,,,"annual_mean_1979-01-01","1979-01-01T00:00:00Z",0.17,"annual_mean"
200,,,"five_year_mean_1979-01-01","1979-01-01T00:00:00Z",0.17,"five_year_mean"
201,,,"annual_mean_1980-01-01","1980-01-01T00:00:00Z",0.27,"annual_mean"
202,,,"five_year_mean_1980-01-01","1980-01-01T00:00:00Z",0.2,"five_year_mean"
203,,,"annual_mean_1981-01-01","1981-01-01T00:00:00Z",0.33,"annual_mean"
204,,,"five_year_mean_1981-01-01","1981-01-01T00:00:00Z",0.21,"five_year_mean"
205,,,"annual_mean_1982-01-01","1982-01-01T00:00:00Z",0.13,"annual_mean"
206,,,"five_year_mean_1982-01-01","1982-01-01T00:00:00Z",0.21,"five_year_mean"
207,,,"annual_mean_1983-01-01","1983-01-01T00:00:00Z",0.3,"annual_mean"
208,,,"five_year_mean_1983-01-01","1983-01-01T00:00:00Z",0.21,"five_year_mean"
209,,,"annual_mean_1984-01-01","1984-01-01T00:00:00Z",0.15,"annual_mean"
210,,,"five_year_mean_1984-01-01","1984-01-01T00:00:00Z",0.21,"five_year_mean"
211,,,"annual_mean_1985-01-01","1985-01-01T00:00:00Z",0.12,"annual_mean"
212,,,"five_year_mean_1985-01-01","1985-01-01T00:00:00Z",0.22,"five_year_mean"
213,,,"annual_mean_1986-01-01","1986-01-01T00:00:00Z",0.19,"annual_mean"
214,,,"five_year_mean_1986-01-01","1986-01-01T00:00:00Z",0.25,"five_year_mean"
215,,,"annual_mean_1987-01-01","1987-01-01T00:00:00Z",0.33,"annual_mean"
216,,,"five_year_mean_1987-01-01","1987-01-01T00:00:00Z",0.28,"five_year_mean"
217,,,"annual_mean_1988-01-01","1988-01-01T00:00:00Z",0.41,"annual_mean"
218,,,"five_year_mean_1988-01-01","1988-01-01T00:00:00Z",0.32,"five_year_mean"
219,,,"annual_mean_1989-01-01","1989-01-01T00:00:00Z",0.28,"annual_mean"
220,,,"five_year_mean_1989-01-01","1989-01-01T00:00:00Z",0.34,"five_year_mean"
221,,,"annual_mean_1990-01-01","1990-01-01T00:00:00Z",0.44,"annual_mean"
222,,,"five_year_mean_1990-01-01","1990-01-01T00:00:00Z",0.34,"five_year_mean"
223,,,"annual_mean_1991-01-01","1991-01-01T00:00:00Z",0.43,"annual_mean"
224,,,"five_year_mean_1991-01-01","1991-01-01T00:00:00Z",0.34,"five_year_mean"
225,,,"annual_mean_1992-01-01","1992-01-01T00:00:00Z",0.23,"annual_mean"
226,,,"five_year_mean_1992-01-01","1992-01-01T00:00:00Z",0.34,"five_year_mean"
227,,,"annual_mean_1993-01-01","1993-01-01T00:00:00Z",0.24,"annual_mean"
228,,,"five_year_mean_1993-01-01","1993-01-01T00:00:00Z",0.34,"five_year_mean"
229,,,"annual_mean_1994-01-01","1994-01-01T00:00:00Z",0.32,"annual_mean"
230,,,"five_year_mean_1994-01-01","1994-01-01T00:00:00Z",0.35,"five_year_mean"
231,,,"annual_mean_1995-01-01","1995-01-01T00:00:00Z",0.46,"annual_mean"
232,,,"five_year_mean_1995-01-01","1995-01-01T00:00:00Z",0.38,"five_year_mean"
233,,,"annual_mean_1996-01-01","1996-01-01T00:00:00Z",0.35,"annual_mean"
234,,,"five_year_mean_1996-01-01","1996-01-01T00:00:00Z",0.41,"five_year_mean"
235,,,"annual_mean_1997-01-01","1997-01-01T00:00:00Z",0.48,"annual_mean"
236,,,"five_year_mean_1997-01-01","1997-01-01T00:00:00Z",0.44,"five_year_mean"
237,,,"annual_mean_1998-01-01","1998-01-01T00:00:00Z",0.64,"annual_mean"
238,,,"five_year_mean_1998-01-01","1998-01-01T00:00:00Z",0.46,"five_year_mean"
239,,,"annual_mean_1999-01-01","1999-01-01T00:00:00Z",0.42,"annual_mean"
240,,,"five_year_mean_1999-01-01","1999-01-01T00:00:00Z",0.49,"five_year_mean"
241,,,"annual_mean_2000-01-01","2000-01-01T00:00:00Z",0.42,"annual_mean"
242,,,"five_year_mean_2000-01-01","2000-01-01T00:00:00Z",0.52,"five_year_mean"
243,,,"annual_mean_2001-01-01","2001-01-01T00:00:00Z",0.55,"annual_mean"
244,,,"five_year_mean_2001-01-01","2001-01-01T00:00:00Z",0.54,"five_year_mean"
245,,,"annual_mean_2002-01-01","2002-01-01T00:00:00Z",0.63,"annual_mean"
246,,,"five_year_mean_2002-01-01","2002-01-01T00:00:00Z",0.56,"five_year_mean"
247,,,"annual_mean_2003-01-01","2003-01-01T00:00:00Z",0.62,"annual_mean"
248,,,"five_year_mean_2003-01-01","2003-01-01T00:00:00Z",0.59,"five_year_mean"
249,,,"annual_mean_2004-01-01","2004-01-01T00:00:00Z",0.55,"annual_mean"
250,,,"five_year_mean_2004-01-01","2004-01-01T00:00:00Z",0.61,"five_year_mean"
251,,,"annual_mean_2005-01-01","2005-01-01T00:00:00Z",0.69,"annual_mean"
252,,,"five_year_mean_2005-01-01","2005-01-01T00:00:00Z",0.62,"five_year_mean"
253,,,"annual_mean_2006-01-01","2006-01-01T00:00:00Z",0.63,"annual_mean"
254,,,"five_year_mean_2006-01-01","2006-01-01T00:00:00Z",0.62,"five_year_mean"
255,,,"annual_mean_2007-01-01","2007-01-01T00:00:00Z",0.66,"annual_mean"
256,,,"five_year_mean_2007-01-01","2007-01-01T00:00:00Z",0.63,"five_year_mean"
257,,,"annual_mean_2008-01-01","2008-01-01T00:00:00Z",0.54,"annual_mean"
258,,,"five_year_mean_2008-01-01","2008-01-01T00:00:00Z",0.63,"five_year_mean"
259,,,"annual_mean_2009-01-01","2009-01-01T00:00:00Z",0.64,"annual_mean"
260,,,"five_year_mean_2009-01-01","2009-01-01T00:00:00Z",0.63,"five_year_mean"
261,,,"annual_mean_2010-01-01","2010-01-01T00:00:00Z",0.71,"annual_mean"
262,,,"five_year_mean_2010-01-01","2010-01-01T00:00:00Z",0.63,"five_year_mean"
263,,,"annual_mean_2011-01-01","2011-01-01T00:00:00Z",0.6,"annual_mean"
264,,,"five_year_mean_2011-01-01","2011-01-01T00:00:00Z",0.65,"five_year_mean"
265,,,"annual_mean_2012-01-01","2012-01-01T00:00:00Z",0.63,"annual_mean"
266,,,"five_year_mean_2012-01-01","2012-01-01T00:00:00Z",0.68,"five_year_mean"
267,,,"annual_mean_2013-01-01","2013-01-01T00:00:00Z",0.65,"annual_mean"
268,,,"five_year_mean_2013-01-01","2013-01-01T00:00:00Z",0.74,"five_year_mean"
269,,,"annual_mean_2014-01-01","2014-01-01T00:00:00Z",0.74,"annual_mean"
270,,,"five_year_mean_2014-01-01","2014-01-01T00:00:00Z",0.79,"five_year_mean"
271,,,"annual_mean_2015-01-01","2015-01-01T00:00:00Z",0.87,"annual_mean"
272,,,"five_year_mean_2015-01-01","2015-01-01T00:00:00Z",0.85,"five_year_mean"
273,,,"annual_mean_2016-01-01","2016-01-01T00:00:00Z",0.99,"annual_mean"
274,,,"five_year_mean_2016-01-01","2016-01-01T00:00:00Z",0.91,"five_year_mean"
